Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Andy (M)	407	388	254	273	1547
Ane (M)	12	6	9	8	43
Anel (M)	18	10	9	12	65
Anes (M)	7	9	8	8	38
Angel (M)	15	19	17	45	109
Angelino (M)	3	12	9	11	42
Angelo (M)	310	564	350	279	1660
Angelos (M)	2	2	8	11	28
Angus (M)	1	17	9	15	47
Anh (M)	10	8	11	21	53
Aniel (M)	12	11	3	4	34
Anil (M)	54	70	63	31	241
Anis (M)	14	33	60	73	222
Anish (M)	12	25	31	27	104
Anjo (M)	15	9	6	8	39
Anko (M)	10	15	10	13	57
Anne (M)	460	419	257	217	1605
Anne-Jan (M)	11	14	11	8	54
Anno (M)	21	8	14	7	63
Anouar (M)	97	178	253	290	972
Antal (M)	12	13	12	5	49
Anthon (M)	4	4	10	7	29
Anthonie (M)	135	115	118	91	568
Anthonius (M)	157	113	72	68	483
Anthony (M)	397	523	486	432	2087
Antoine (M)	86	78	92	79	395
Anton (M)	363	308	282	241	1406
Antoni (M)	29	29	12	12	99
Antonie (M)	200	209	205	140	883
Antonio (M)	98	106	95	122	501
Antonius (M)	1032	773	546	325	3254
Antony (M)	43	47	31	39	169
Antoon (M)	102	82	63	41	358
Antwan (M)	22	28	14	15	89
Anwar (M)	53	73	100	133	420
Anıl (M)	3	14	26	12	60
Ara (M)	8	3	8	8	32
Aram (M)	56	47	48	40	251
Aran (M)	13	10	15	21	79
Aras (M)	3	7	4	11	27
Arash (M)	47	25	10	19	129
Arco (M)	14	15	18	16	75
Ard (M)	43	32	34	36	164
Arda (M)	10	13	21	72	351
Ardian (M)	3	2	8	12	29
Aren (M)	14	27	14	13	80
Arend (M)	512	423	323	284	1868
Arend-Jan (M)	21	22	15	8	78
Arent (M)	22	16	12	9	67
Ari (M)	12	9	15	11	59
Aria (M)	5	3	14	11	40
Arian (M)	53	47	62	43	248
Arie (M)	901	815	681	510	3480
Arie-Jan (M)	11	8	6	1	31
Arief (M)	11	9	2	3	31
