Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Hakki (M)	10	11	3	5	37
Halbe (M)	18	7	8	3	43
Halil (M)	144	137	107	81	546
Halim (M)	6	9	7	7	40
Halit (M)	29	17	18	10	81
Hamdi (M)	22	30	29	13	107
Hamed (M)	25	10	12	8	64
Hamid (M)	127	48	51	13	309
Hamit (M)	7	8	7	7	33
Hamsa (M)	3	6	15	12	37
Hamse (M)	5	4	16	9	39
Hamza (M)	274	400	443	530	1890
Hamzah (M)	1	12	10	9	35
Hamze (M)	3	5	9	5	27
Han (M)	96	75	63	44	326
Hanad (M)	2	17	29	16	65
Hanan (M)	30	11	1	0	64
Hani (M)	13	6	8	7	41
Hanifi (M)	5	6	7	9	31
Hanne (M)	7	6	3	8	29
Hannes (M)	20	15	22	18	96
Hanno (M)	8	7	10	6	42
Hans (M)	844	505	279	171	2221
Hao (M)	9	15	13	18	68
Harald (M)	61	48	36	12	195
Haris (M)	19	39	51	43	169
Harke (M)	15	11	9	6	48
Harley (M)	5	29	36	27	114
Harm (M)	807	712	605	502	3140
Harm-Jan (M)	41	27	31	26	139
Harman (M)	6	3	6	6	32
Harmannus (M)	42	36	20	12	133
Harmen (M)	427	346	262	219	1488
Harmjan (M)	11	12	6	3	40
Haroen (M)	7	5	11	9	37
Harold (M)	146	121	96	37	472
Haron (M)	1	7	5	16	35
Haroun (M)	3	8	11	8	33
Harrie (M)	48	38	30	11	160
Harrison (M)	6	9	4	7	28
Harro (M)	13	13	9	5	57
Harry (M)	188	130	101	56	577
Harun (M)	127	128	88	60	480
Harvey (M)	36	25	36	22	134
Harwin (M)	6	6	6	5	28
Hasan (M)	279	290	202	141	1057
Hashim (M)	2	7	10	7	31
Hassan (M)	276	192	125	106	848
Hatim (M)	11	24	17	28	96
Hayat (M)	30	16	6	2	68
Hayati (M)	7	7	2	3	27
Haydar (M)	23	33	28	19	125
Haye (M)	13	29	32	13	96
Hayo (M)	32	31	15	15	103
Hayrettin (M)	6	8	7	2	30
Hayri (M)	10	6	5	2	31
Hazar (M)	2	1	3	11	27
Hector (M)	7	13	7	5	41
Hedde (M)	4	3	8	8	32
Hedzer (M)	22	15	14	22	90
Heiko (M)	18	15	9	11	64
Heimen (M)	8	7	11	5	45
Hein (M)	137	121	145	160	692
Heine (M)	19	10	11	9	61
Heinrich (M)	26	20	18	7	96
Helder (M)	18	6	2	6	42
Helmer (M)	11	12	6	3	40
Helmich (M)	2	7	8	8	29
Hemmo (M)	11	8	5	1	28
Hendericus (M)	14	10	4	3	36
Henderik (M)	20	20	15	14	86
Henderikus (M)	76	56	46	33	248
Hendri (M)	24	15	16	12	79
Hendrick (M)	14	16	20	19	78
Hendricus (M)	196	142	66	65	556
Hendrik (M)	3605	2834	2246	1689	12610
Hendrik-Jan (M)	37	25	19	19	120
Hendrikus (M)	1073	754	512	320	3217
Hendry (M)	7	11	8	8	41
Henk (M)	271	286	191	137	1079
Henk-Jan (M)	60	35	44	24	192
Hennie (M)	9	10	10	13	50
Henny (M)	21	28	10	10	82
Henri (M)	184	125	75	60	542
Henrick (M)	6	11	19	18	63
Henrico (M)	22	23	21	15	92
Henricus (M)	525	335	197	117	1424
Henrie (M)	8	3	8	5	31
Henrik (M)	34	29	41	35	165
Henrikus (M)	25	13	2	4	55
Henry (M)	153	108	93	64	492
Herbert (M)	53	35	19	16	159
Herjan (M)	9	3	6	4	27
Herm (M)	6	7	5	6	33
Herman (M)	561	429	281	211	1802
Hermann (M)	11	9	5	1	31
Hermannes (M)	24	12	12	12	70
Hermannus (M)	68	52	44	34	236
Hermanus (M)	302	207	131	109	898
Hermen (M)	38	37	10	19	121
Hero (M)	7	8	13	46	94
Herre (M)	11	17	12	16	67
Herwin (M)	10	11	12	5	46
Hessel (M)	118	228	279	282	1050
Hette (M)	13	12	6	12	53
Hicham (M)	290	307	326	259	1309
Hidayet (M)	9	4	7	4	29
Hidde (M)	224	431	839	932	2898
Hielke (M)	78	87	100	101	424
Hieronymus (M)	29	29	18	5	91
Hikmet (M)	19	15	17	11	71
Hilal (M)	13	11	5	9	39
Hilbert (M)	68	63	39	13	234
Hilbertus (M)	7	10	9	0	29
Hilbrand (M)	19	19	16	8	82
Hilco (M)	32	18	8	11	83
Hilko (M)	24	15	15	7	78
Hille (M)	10	16	12	11	60
Hillebrand (M)	24	21	13	11	78
Hilmi (M)	23	12	12	10	60
Hinderikus (M)	9	12	3	4	35
Hindrik (M)	80	72	35	32	260
Hisham (M)	13	10	5	10	45
Hjalmar (M)	37	22	22	11	103
Ho (M)	28	23	19	11	92
Hoang (M)	22	27	11	12	89
Hobie (M)	0	22	22	6	50
Holger (M)	9	3	7	3	27
Hong (M)	13	22	16	11	74
Hossam (M)	3	8	11	10	37
Hossein (M)	10	9	3	1	36
Hotze (M)	5	5	7	8	31
Houdaifa (M)	1	3	9	8	31
Houssain (M)	8	30	18	2	61
Houssam (M)	6	3	16	20	52
Houssine (M)	21	10	2	3	42
Howard (M)	12	8	4	4	32
Hubert (M)	70	68	55	23	251
Hubertus (M)	296	200	137	81	891
Hubrecht (M)	19	29	19	18	102
Hugo (M)	489	478	765	967	3352
Huib (M)	53	59	86	75	323
Huibert (M)	149	126	100	81	535
Huibertus (M)	13	8	8	7	42
Huibrecht (M)	21	20	21	19	94
Huig (M)	35	25	18	14	119
Humphrey (M)	20	10	7	5	57
Hung (M)	9	9	2	3	28
Husein (M)	7	8	7	3	28
Huseyin (M)	52	41	23	7	145
Hussain (M)	9	13	8	12	46
Hussein (M)	50	45	31	31	185
Huub (M)	86	138	186	256	819
Huy (M)	6	13	13	6	44
Hylke (M)	88	100	101	120	500
Hüseyin (M)	214	191	165	93	765
IJsbrand (M)	40	33	45	44	191
Iain (M)	13	5	12	14	55
Ian (M)	221	420	534	727	2216
Ibe (M)	3	2	7	10	27
Ibrahim (M)	544	517	453	450	2306
Iddo (M)	7	4	15	8	39
Ide (M)	8	9	13	14	50
Ido (M)	23	26	26	16	104
Idris (M)	23	27	23	30	129
Idriss (M)	7	12	10	14	45
Ids (M)	24	21	73	99	266
Idse (M)	1	3	15	19	48
Iggy (M)	3	4	13	25	50
Ignatius (M)	6	9	4	2	29
Igor (M)	146	129	161	126	654
Ihab (M)	6	10	21	17	60
Ihsan (M)	21	18	12	14	81
Ike (M)	14	21	14	32	107
Ikram (M)	49	26	18	5	111
Ilan (M)	7	16	17	38	106
Ilco (M)	12	11	5	4	40
Ilham (M)	8	11	6	5	35
Ilhan (M)	32	22	19	33	124
Ilia (M)	7	5	2	9	27
Ilian (M)	3	3	6	16	42
Ilias (M)	30	284	416	492	1420
Iliass (M)	112	144	71	33	397
Ilja (M)	49	57	56	82	305
Ilkay (M)	17	8	7	13	51
Ilker (M)	33	21	36	32	149
Illias (M)	0	4	8	13	29
Iloy (M)	4	13	4	4	28
Ilya (M)	10	8	14	36	84
Ilyaas (M)	0	5	15	14	39
Ilyas (M)	71	78	86	208	578
Ilyass (M)	16	12	23	35	98
Ilyasse (M)	7	36	31	12	90
Imad (M)	87	154	152	147	616
Imadeddine (M)	2	4	11	12	29
Iman (M)	34	33	27	14	130
Imane (M)	9	10	11	1	33
Imar (M)	3	4	4	12	28
Imko (M)	13	5	5	8	34
Immanuel (M)	17	25	17	24	97
Immanuël (M)	13	8	17	19	79
Imme (M)	3	5	20	29	71
Imraan (M)	4	5	2	9	35
Imran (M)	47	33	30	77	307
Imrane (M)	1	9	19	34	88
Imre (M)	46	45	67	66	275
Imro (M)	11	20	12	8	67
Indiana (M)	2	10	8	5	27
Indigo (M)	0	1	8	16	31
Indra (M)	11	8	6	17	46
Indy (M)	9	41	149	158	412
Ingemar (M)	7	7	8	4	27
Ingmar (M)	158	172	148	151	725
Ingo (M)	37	57	44	32	195
Ino (M)	5	9	7	4	28
Ioannis (M)	16	14	20	13	65
Irfaan (M)	10	13	13	9	49
Irfan (M)	42	40	31	29	172
Irving (M)	6	12	8	4	39
Isa (M)	25	26	43	38	167
Isaac (M)	35	45	61	90	283
Isaak (M)	2	10	13	22	60
Isaiah (M)	1	2	24	35	83
Isak (M)	6	5	4	7	28
Isar (M)	2	4	6	9	28
Isaäc (M)	17	9	11	12	59
Isaï (M)	2	4	16	15	44
Ischa (M)	28	35	33	50	161
Isha (M)	4	5	8	11	36
Ishaan (M)	1	0	4	10	30
Ishak (M)	7	16	16	27	93
Ishan (M)	5	5	5	22	61
Iskander (M)	14	29	16	23	90
Islam (M)	12	17	15	15	68
Ismael (M)	24	31	30	34	147
Ismail (M)	443	448	339	236	1710
Ismaël (M)	32	56	57	73	258
Ismaïl (M)	10	13	75	139	304
Ismet (M)	30	28	29	20	123
Issa (M)	5	6	13	18	51
Issam (M)	65	91	102	113	425
Ivan (M)	239	193	170	279	1133
Ivanildo (M)	8	17	8	6	47
Ivano (M)	8	9	20	18	75
Ivar (M)	173	249	290	389	1331
Ivo (M)	683	756	637	477	3088
Ivor (M)	17	34	21	14	96
Iwan (M)	117	101	118	241	699
Iza (M)	0	1	8	12	28
Izaak (M)	25	22	22	18	101
Izak (M)	25	25	22	20	107
Izaäk (M)	58	36	41	16	177
Izzet (M)	12	13	13	4	60
Jaafar (M)	11	17	13	15	64
Jaap (M)	565	396	355	236	1903
Jaap-Jan (M)	7	9	5	6	30
Jaber (M)	10	18	25	14	81
Jabir (M)	0	5	11	29	57
Jacco (M)	155	200	304	207	982
Jace (M)	1	2	0	13	27
Jacey (M)	0	2	4	15	32
Jack (M)	163	224	256	340	1191
Jackie (M)	9	14	3	8	44
Jacko (M)	12	19	8	6	50
Jackson (M)	5	6	10	10	37
Jacky (M)	144	131	58	37	413
Jaco (M)	55	41	41	31	190
Jacob (M)	1721	1529	1283	1076	6704
Jacobus (M)	1369	1141	883	591	4768
Jacques (M)	84	73	57	37	288
Jaden (M)	0	1	9	120	193
Jadon (M)	0	0	3	17	38
Jael (M)	5	8	11	13	46
Jafar (M)	3	6	10	13	34
Jafeth (M)	21	12	7	8	54
Jai (M)	6	3	15	19	52
Jaiden (M)	0	0	0	21	55
Jaime (M)	39	46	52	44	209
Jaimey (M)	1	5	19	29	80
Jaimie (M)	31	44	37	27	155
Jaimy (M)	167	285	438	501	1581
Jair (M)	22	18	21	19	100
Jairo (M)	19	25	30	82	189
Jairzinho (M)	3	8	6	6	28
Jake (M)	27	88	90	110	365
Jakko (M)	7	14	14	11	49
Jakob (M)	244	203	172	148	945
Jakobus (M)	45	25	22	29	137
Jakub (M)	8	20	8	12	74
Jalal (M)	37	28	9	11	100
Jalil (M)	7	7	8	9	37
Jamahl (M)	5	12	9	6	33
Jamai (M)	1	2	1	46	51
Jamairo (M)	0	1	6	28	40
Jamal (M)	310	186	161	145	975
Jamel (M)	17	11	16	9	56
James (M)	149	169	159	128	730
Jamey (M)	0	25	32	32	104
Jamie (M)	196	338	363	496	1806
Jamil (M)	15	35	35	28	137
Jamiro (M)	0	10	68	61	157
Jamy (M)	30	41	44	71	223
Jan (M)	5646	4612	3839	2981	20483
Jan-Jaap (M)	41	29	16	7	107
Jan-Joost (M)	12	5	3	6	28
Jan-Paul (M)	37	18	9	5	81
Jan-Peter (M)	8	13	7	3	38
Jan-Pieter (M)	33	20	14	13	99
Jan-Willem (M)	328	226	157	104	994
Janco (M)	19	23	25	20	104
Janick (M)	8	21	29	38	107
Janiek (M)	4	8	18	12	49
Janik (M)	0	7	10	9	28
Janko (M)	11	8	8	10	41
Janne (M)	7	6	8	23	53
Jannes (M)	106	110	147	171	637
Jannick (M)	29	72	82	63	276
Janniek (M)	3	3	10	11	36
Jannik (M)	1	10	11	11	39
Jannis (M)	20	6	13	5	50
Janno (M)	15	28	23	27	112
Jans (M)	27	20	7	16	96
Jantinus (M)	17	10	15	6	53
Jantje (M)	17	7	15	5	51
Janus (M)	17	7	23	18	70
Janwillem (M)	11	6	4	3	34
Jaouad (M)	196	180	116	77	662
Jarco (M)	14	16	15	22	82
Jard (M)	7	18	17	26	76
Jardi (M)	1	4	14	16	42
Jared (M)	10	12	24	39	110
Jari (M)	12	101	836	545	1672
Jarich (M)	8	6	8	3	30
Jarick (M)	0	1	16	12	32
Jarik (M)	7	6	31	23	75
Jaring (M)	10	10	4	2	29
Jarl (M)	25	14	13	15	74
Jarmo (M)	24	25	35	129	221
Jarne (M)	8	10	44	74	178
Jarnick (M)	0	5	16	21	57
Jarno (M)	368	335	467	1459	3113
Jaro (M)	7	18	52	72	192
Jarod (M)	1	2	6	48	65
Jaromir (M)	7	10	20	11	52
Jaron (M)	39	61	118	126	395
Jary (M)	0	5	20	13	43
Jascha (M)	21	15	10	10	63
Jasin (M)	3	6	12	19	49
Jasmin (M)	35	21	9	10	91
Jason (M)	198	569	721	770	2635
Jasper (M)	2301	3114	3014	2809	13037
Jassin (M)	5	13	10	8	42
Jauke (M)	7	11	6	12	42
Javier (M)	44	42	26	30	175
Jawad (M)	41	55	53	50	225
Jay (M)	56	125	382	742	1649
Jay-Jay (M)	4	12	15	33	75
Jayant (M)	22	16	25	23	107
Jayce (M)	15	9	6	9	44
Jaydan (M)	0	0	1	17	35
Jaydee (M)	0	2	4	20	28
Jayden (M)	0	0	11	445	1236
Jaydon (M)	0	0	2	39	72
Jaylen (M)	1	0	1	22	48
Jayme (M)	2	1	10	12	28
Jaymie (M)	5	4	6	5	30
Jayro (M)	1	3	7	11	27
Jayson (M)	10	12	42	84	207
Jazz (M)	0	16	22	34	84
Jazzley (M)	0	3	14	11	33
Jazzy (M)	0	11	7	7	28
Jaël (M)	7	9	30	41	107
Jaïr (M)	37	53	90	132	351
Jaïro (M)	0	4	8	20	41
Jean (M)	202	200	116	113	739
Jean-Luc (M)	11	19	38	23	101
Jean-Michel (M)	8	11	7	1	29
Jean-Paul (M)	162	112	80	36	490
Jean-Pierre (M)	46	25	25	11	138
Jeannot (M)	4	22	17	11	56
Jeen (M)	23	16	33	38	132
Jef (M)	23	19	31	23	119
Jeff (M)	100	126	79	41	374
Jefferson (M)	7	10	16	9	48
Jeffery (M)	15	23	6	1	53
Jeffrey (M)	3930	4419	2686	1066	13370
Jeffry (M)	128	78	65	30	357
Jefrey (M)	16	10	13	3	45
Jefta (M)	34	21	33	21	142
Jeftha (M)	10	7	9	9	44
Jelani (M)	9	5	7	19	46
Jelco (M)	24	41	36	16	126
Jelger (M)	18	24	29	14	112
Jelke (M)	38	33	27	45	167
Jelle (M)	1451	2200	3057	2424	10306
Jelmar (M)	28	48	50	64	215
Jelmer (M)	593	803	905	777	3524
Jelt (M)	0	3	7	17	34
Jelte (M)	129	178	195	237	994
Jenairo (M)	0	2	5	14	32
Jenne (M)	10	10	12	9	46
Jenno (M)	5	4	11	14	43
Jens (M)	268	359	674	1364	3448
Jense (M)	11	5	7	11	38
Jent (M)	1	5	5	16	34
Jente (M)	10	32	54	74	219
Jeoffrey (M)	8	8	5	1	31
Jeppe (M)	6	20	37	40	123
Jered (M)	7	6	6	5	28
Jeremey (M)	0	3	14	23	48
Jeremi (M)	4	8	5	7	28
Jeremia (M)	14	15	16	18	72
Jeremiah (M)	38	25	31	59	195
Jeremias (M)	10	8	6	10	48
Jeremie (M)	9	7	9	14	42
Jeremy (M)	358	647	956	809	3058
Jermain (M)	82	80	51	69	328
Jermaine (M)	211	145	116	77	635
Jermo (M)	11	33	19	60	129
Jermy (M)	6	10	11	20	57
Jeroen (M)	6551	6174	3839	1717	21271
Jerom (M)	12	32	62	48	165
Jerome (M)	42	44	40	30	174
Jeromy (M)	8	10	14	10	46
Jeron (M)	6	10	11	8	39
Jeronimus (M)	31	17	3	2	82
Jerre (M)	6	12	17	34	93
Jerrel (M)	31	29	49	45	166
Jerremy (M)	14	19	7	12	61
Jerrold (M)	24	16	6	8	57
Jerry (M)	400	381	225	89	1233
Jersey (M)	6	5	5	14	35
Jerzy (M)	8	13	11	30	67
Jerôme (M)	24	44	34	13	133
Jesaja (M)	9	9	9	13	54
Jesmer (M)	1	6	16	15	44
Jesper (M)	487	679	888	1157	3814
Jess (M)	2	2	6	11	30
Jesse (M)	555	1779	3567	3453	11023
Jessey (M)	5	43	79	63	226
Jessie (M)	11	70	146	87	352
Jessin (M)	0	12	13	15	44
Jessy (M)	14	124	229	166	610
Jesus (M)	9	6	5	5	29
Jethro (M)	35	34	36	26	156
Jetse (M)	19	25	20	21	103
Jetze (M)	31	46	34	35	171
Jevon (M)	4	8	7	12	38
Jhon (M)	17	12	5	0	40
Jhonny (M)	11	8	4	5	36
Jia (M)	10	21	57	43	140
Jian (M)	15	11	9	15	64
Jibbe (M)	5	17	23	56	126
Jidde (M)	5	4	8	4	27
Jihad (M)	7	13	14	4	42
Jikke (M)	6	1	13	25	50
Jildert (M)	23	26	32	30	139
Jilke (M)	2	10	5	11	33
Jille (M)	5	6	12	10	44
Jilles (M)	57	38	54	80	294
Jillis (M)	6	17	18	11	60
Jim (M)	347	684	856	813	2968
Jimi (M)	28	53	90	76	276
Jimme (M)	10	18	26	25	88
Jimmie (M)	18	22	19	17	87
Jimmy (M)	828	1011	793	462	3379
Jin (M)	14	7	17	15	66
Jing (M)	6	2	6	7	29
Jip (M)	117	245	312	533	1443
Jippe (M)	6	13	25	46	110
Jiri (M)	35	36	37	22	146
Jiry (M)	2	10	12	3	29
Jisk (M)	4	6	11	9	33
Jisse (M)	3	9	11	17	48
Jits (M)	1	8	9	16	46
Jitse (M)	28	54	81	105	301
Jitze (M)	24	30	25	37	142
Jivan (M)	3	5	12	9	31
Jo (M)	9	13	6	1	36
Joachim (M)	157	124	96	72	542
Joah (M)	1	2	3	8	28
Joakim (M)	6	10	4	4	30
Joan (M)	21	23	12	16	89
Joannes (M)	134	105	78	41	403
Joao (M)	19	8	5	2	44
Joaquim (M)	11	5	11	17	50
Joaquin (M)	4	10	10	62	126
Joas (M)	35	31	38	92	264
Job (M)	393	776	1212	1433	4368
Jobbe (M)	7	13	14	18	56
Jochem (M)	612	697	808	1126	3835
Jochen (M)	18	11	7	4	52
Jochum (M)	28	27	28	20	125
Jody (M)	43	16	19	31	134
Joe (M)	21	55	73	87	283
Joek (M)	3	3	9	18	44
Joeke (M)	9	13	7	7	43
Joel (M)	41	50	46	53	224
Joep (M)	440	862	1091	1410	4522
Joeri (M)	574	750	686	384	2672
Joerie (M)	23	33	29	19	118
Joery (M)	88	94	114	60	404
Joes (M)	2	4	38	52	121
Joey (M)	1331	2879	2264	1893	9183
Joffrey (M)	32	19	15	7	86
Jogchum (M)	14	7	1	3	37
Johan (M)	1853	1289	895	637	5798
Johanan (M)	7	5	10	8	40
Johann (M)	39	52	35	18	177
Johannes (M)	7618	5719	3860	2671	24177
Johannis (M)	145	109	81	58	475
Johannus (M)	73	68	41	22	240
John (M)	795	589	330	213	2333
Johnathan (M)	16	14	8	13	60
Johnnie (M)	15	5	2	1	29
Johnno (M)	0	84	18	3	105
Johnny (M)	474	344	172	88	1343
Johnson (M)	7	3	5	8	28
Johny (M)	24	17	0	6	63
Jolan (M)	9	13	20	17	66
Jolle (M)	7	7	8	9	35
Jon (M)	59	95	59	50	299
Jona (M)	9	15	44	94	203
Jonah (M)	12	22	73	173	355
Jonas (M)	100	142	259	437	1216
Jonatan (M)	31	24	26	27	125
Jonathan (M)	798	973	875	842	4096
Joni (M)	19	16	22	16	83
Jonne (M)	40	60	74	66	311
Jonno (M)	2	32	12	15	63
Jonny (M)	7	23	7	4	48
Joop (M)	57	88	59	62	322
Joos (M)	12	21	24	22	91
Joost (M)	2105	2192	1881	1389	8856
Jop (M)	95	181	293	542	1313
Joppe (M)	56	78	184	215	629
Jor (M)	1	10	9	5	30
Joram (M)	145	112	115	125	609
Joran (M)	133	222	301	408	1321
Jorben (M)	2	7	9	13	34
Jord (M)	55	82	103	155	441
Jordan (M)	47	213	289	272	960
Jorden (M)	47	104	97	79	364
Jordey (M)	4	17	32	9	68
Jordi (M)	604	1048	1669	671	4308
Jordie (M)	54	77	76	17	262
Jordin (M)	7	16	57	33	126
Jordy (M)	1517	2557	2953	1770	9545
Joren (M)	107	171	132	80	528
Jorg (M)	141	140	160	147	694
Jorge (M)	69	25	18	14	160
Jorgen (M)	17	8	10	8	53
Jorginho (M)	1	19	11	5	39
Jorgo (M)	8	10	6	2	29
Jori (M)	96	87	80	46	340
Jorian (M)	22	78	107	97	353
Jorick (M)	79	117	96	88	432
Jorijn (M)	4	14	11	5	36
Jorik (M)	103	161	134	118	577
Jorim (M)	18	23	20	9	79
Jorin (M)	15	26	44	11	101
Joris (M)	1225	1657	1671	1420	6909
Jorit (M)	8	12	9	6	40
Jorn (M)	364	521	717	744	2702
Jorne (M)	33	31	29	30	142
Jorno (M)	3	11	8	6	32
Jornt (M)	8	14	8	15	57
Jorre (M)	7	14	10	14	59
Jorren (M)	4	14	12	17	57
Jorrick (M)	11	21	25	9	71
Jorrik (M)	3	15	8	9	41
Jorrin (M)	12	11	9	7	42
Jorrit (M)	474	444	367	385	1944
Jort (M)	114	165	238	726	1590
Jory (M)	51	69	42	29	215
Jos (M)	695	497	335	159	2002
Jose (M)	72	28	9	17	159
Josef (M)	30	35	32	30	163
Joseph (M)	288	249	181	147	1023
Josephus (M)	323	212	134	78	898
Josh (M)	11	27	39	25	118
Josha (M)	12	15	21	13	70
Joshi (M)	5	10	10	3	28
Joshua (M)	400	764	960	951	3519
Josia (M)	7	6	6	8	34
Josiah (M)	1	3	12	11	35
Josias (M)	7	6	6	8	35
Josip (M)	9	6	10	5	39
Josja (M)	10	6	3	11	32
Josse (M)	32	27	27	20	119
Josua (M)	5	12	8	5	43
José (M)	78	59	38	37	265
Jouk (M)	3	6	7	6	27
Jouke (M)	133	115	120	94	543
Jouri (M)	23	28	32	22	125
Joury (M)	30	42	31	12	129
Jovan (M)	5	9	11	13	46
Jovanni (M)	0	4	11	16	37
Jovanny (M)	1	6	8	14	32
Jovi (M)	1	6	16	15	42
Jowi (M)	4	5	11	9	33
Joy (M)	37	48	46	45	210
Jozef (M)	274	179	143	87	828
Jozeph (M)	16	10	7	5	46
Jozephus (M)	7	10	8	0	28
Jozias (M)	22	14	16	21	88
Jozua (M)	56	47	53	54	262
João (M)	20	30	21	18	113
Joël (M)	432	653	854	770	3058
Joëll (M)	10	41	50	33	139
Joëy (M)	8	8	11	18	51
Juan (M)	139	115	112	104	570
Juanito (M)	3	10	14	11	44
Juda (M)	5	8	9	24	57
Judah (M)	5	1	9	7	33
Jules (M)	184	301	408	425	1544
Julian (M)	316	594	1639	2140	5659
Juliano (M)	3	9	12	29	66
Julien (M)	125	169	133	98	612
Julio (M)	37	23	32	15	127
Julius (M)	113	166	361	518	1469
Juliën (M)	50	61	53	43	237
Jullian (M)	1	1	3	23	42
Jun (M)	15	28	23	18	97
Junaid (M)	13	8	3	7	35
Juninho (M)	0	0	16	15	39
Junior (M)	42	41	49	76	249
Juno (M)	3	13	14	20	63
Jur (M)	17	59	252	232	664
Jurg (M)	8	3	5	7	27
Jurgen (M)	389	339	342	309	1613
Juri (M)	31	16	21	18	95
Juriaan (M)	50	69	46	37	227
Jurian (M)	77	104	142	111	501
Jurick (M)	10	10	3	4	35
Jurie (M)	9	10	3	13	42
Juriën (M)	21	28	18	13	87
Jurjan (M)	10	21	17	18	74
Jurjen (M)	270	239	207	137	980
Jurn (M)	12	22	20	17	87
Jurre (M)	132	199	423	705	1773
Jurren (M)	4	12	14	8	43
Jurriaan (M)	163	200	189	84	723
Jurrian (M)	59	79	116	79	378
Jurrie (M)	21	10	12	8	60
Jurrien (M)	52	31	22	13	133
Jurrit (M)	9	13	11	8	45
Jurriën (M)	129	150	120	62	498
Just (M)	19	40	37	62	215
Justen (M)	3	7	15	29	64
Justian (M)	5	19	1	3	29
Justice (M)	2	2	19	14	44
Justin (M)	644	1372	2048	2465	7417
Justinus (M)	18	20	3	7	61
Justus (M)	78	122	149	156	586
Juul (M)	60	103	129	202	607
Juup (M)	0	2	5	50	83
Jérôme (M)	24	21	8	5	68
Jörgen (M)	31	11	15	10	90
Jörn (M)	12	20	11	9	62
Jürgen (M)	77	35	18	9	189
Ka (M)	79	81	46	25	272
Kaan (M)	14	61	117	226	517
Kader (M)	12	6	7	4	31
Kadir (M)	150	185	138	117	682
Kai (M)	184	232	302	446	1458
Kailash (M)	14	20	10	2	50
Kaj (M)	151	198	266	355	1135
Kaja (M)	1	3	2	10	30
Kaleb (M)	3	2	12	7	34
Kalle (M)	10	9	24	46	130
Kamal (M)	136	135	71	36	456
Kamiel (M)	24	28	47	68	206
Kamil (M)	45	26	34	34	182
Kamran (M)	19	10	5	3	47
Kane (M)	6	14	14	218	336
Kaoutar (M)	14	14	10	2	44
Karam (M)	5	8	14	14	47
Karan (M)	24	44	58	41	194
Kareem (M)	7	21	19	17	66
Karel (M)	307	268	229	170	1147
Kariem (M)	9	25	24	12	77
Karim (M)	371	404	248	154	1387
Karl (M)	27	52	26	18	146
Karlo (M)	10	18	7	12	54
Kars (M)	74	120	134	166	574
Karst (M)	55	38	55	53	244
Karsten (M)	73	71	97	164	528
Karwan (M)	10	8	4	6	30
Kas (M)	24	64	127	203	520
Kashif (M)	13	3	7	2	33
Kasim (M)	10	18	2	7	46
Kaspar (M)	23	31	12	16	94
Kasper (M)	337	395	278	362	1629
Kavish (M)	17	24	15	3	63
Kawa (M)	6	5	3	4	27
Kay (M)	319	481	423	611	2179
Kaya (M)	5	16	23	71	174
Kayne (M)	0	1	10	50	75
Kayo (M)	1	5	17	7	36
Kayra (M)	0	0	9	29	60
Kaz (M)	13	32	33	12	96
Kazim (M)	14	17	14	11	66
Kazimir (M)	4	8	9	2	27
Kaïn (M)	1	8	9	12	33
Kean (M)	1	3	6	14	29
Keano (M)	0	1	10	15	110
Keanu (M)	0	26	108	122	309
Keenan (M)	2	2	8	12	28
Kees (M)	288	311	279	270	1372
Kees-Jan (M)	13	7	8	3	43
Keimpe (M)	17	19	21	20	93
Keith (M)	25	35	36	30	146
Kelly (M)	37	14	11	6	98
Kelvin (M)	254	318	454	336	1517
Kemal (M)	76	51	43	35	248
Kemâl (M)	11	11	8	7	44
Ken (M)	94	124	99	39	391
Kenan (M)	81	65	55	125	390
Kendrick (M)	12	17	1	8	42
Kenji (M)	11	16	8	8	84
Kenley (M)	1	4	10	21	38
Kenn (M)	6	7	11	4	30
Kenneth (M)	339	460	314	105	1309
Kenney (M)	8	12	10	1	34
Kenny (M)	361	350	205	79	1084
Kenrick (M)	9	26	18	8	68
Kent (M)	4	4	9	10	32
Kenzo (M)	10	22	31	71	164
Keo (M)	0	0	0	17	29
Kerem (M)	18	32	65	93	276
Kerim (M)	41	60	55	64	257
Kerwin (M)	33	22	12	1	76
Kes (M)	3	2	12	13	52
Kester (M)	5	12	4	5	28
Kevin (M)	5449	7165	5353	3211	22894
Khaled (M)	29	22	13	25	105
Khalid (M)	566	385	223	144	1605
Khalil (M)	23	23	22	36	122
Khallil (M)	1	12	20	5	39
Kian (M)	6	9	17	178	357
Kick (M)	10	25	31	160	347
Kiefer (M)	4	17	21	11	54
Kieran (M)	12	17	24	62	143
Kiet (M)	0	1	13	34	63
Kik (M)	0	0	4	25	42
Kilian (M)	31	119	112	82	369
Killian (M)	9	63	67	27	188
Kim (M)	131	69	31	24	334
Kimi (M)	0	0	0	21	48
Kimo (M)	5	3	14	13	43
Kin (M)	20	12	16	4	68
King (M)	23	2	1	14	53
Kingsley (M)	7	8	8	9	39
Kiran (M)	22	22	15	54	157
Kishan (M)	84	62	44	46	280
Kishen (M)	15	12	10	7	51
Kjeld (M)	48	116	161	142	518
Kjell (M)	37	75	163	204	581
Kjelt (M)	4	5	24	25	68
Klaas (M)	847	683	568	485	3217
Klaas-Jan (M)	27	25	21	16	112
Klaasjan (M)	10	2	3	4	27
Ko (M)	9	11	24	21	75
