Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Annelotte (V)	35	93	125	80	369
Annelou (V)	17	16	28	15	79
Annelous (V)	10	10	4	1	28
Annely (V)	14	9	9	8	50
Annemaria (V)	15	21	16	9	66
Annemarie (V)	689	411	318	133	1967
Annemarieke (V)	51	25	25	10	140
Annemarije (V)	40	24	24	9	117
Annemarijn (V)	41	61	73	57	259
Annemay (V)	2	8	12	16	42
Annemie (V)	19	11	8	9	51
Annemiek (V)	425	475	266	134	1514
Annemieke (V)	581	330	177	84	1502
Annemijn (V)	66	100	250	272	831
Annemoon (V)	1	5	9	18	41
Annerie (V)	13	5	5	1	30
Annerieke (V)	49	35	17	12	132
Anneroos (V)	15	34	22	21	108
Annet (V)	185	192	92	67	620
Annetje (V)	46	27	38	25	175
Annetta (V)	10	6	5	1	27
Annette (V)	205	151	78	64	630
Annewil (V)	15	13	9	4	45
Annick (V)	110	219	218	188	800
Annicka (V)	11	1	3	10	27
Annie (V)	173	150	101	71	605
Annieck (V)	10	8	8	4	30
Anniek (V)	229	306	383	290	1380
Annieke (V)	23	16	14	8	67
Annigje (V)	140	114	107	76	521
Annika (V)	390	244	286	410	1520
Anniko (V)	0	7	20	24	54
Annique (V)	53	38	25	46	182
Annisa (V)	2	3	12	7	30
Annoeska (V)	10	10	7	4	31
Annouk (V)	9	27	31	9	79
Anny (V)	7	7	8	5	35
Anoek (V)	121	127	137	83	532
Anoeshka (V)	26	22	7	4	69
Anoeska (V)	57	62	34	20	217
Anouchka (V)	25	25	11	5	82
Anouck (V)	39	73	107	103	371
Anouk (V)	2144	3263	3886	3464	14596
Anouschka (V)	107	187	135	58	533
Anoushka (V)	29	17	15	19	101
Anouska (V)	70	79	49	40	274
Ans (V)	24	12	12	8	75
Anthe (V)	5	4	7	14	37
Anthea (V)	6	19	7	2	36
Anthonia (V)	93	71	67	45	341
Antje (V)	422	341	218	163	1391
Antoinet (V)	24	17	5	9	72
Antoinetta (V)	38	38	24	13	135
Antoinette (V)	221	129	66	79	614
Antonetta (V)	51	37	23	15	154
Antonette (V)	13	3	4	6	33
Antonia (V)	490	360	281	207	1627
Antsje (V)	11	5	10	9	41
Anuradha (V)	48	25	9	5	101
Anuschka (V)	34	19	14	5	88
Anusha (V)	10	12	3	11	41
Anushka (V)	25	19	3	2	64
Anuska (V)	25	10	3	1	49
Anya (V)	9	11	7	6	44
Aoife (V)	3	5	9	9	29
Aouatif (V)	14	5	10	2	40
Apollonia (V)	24	18	17	11	77
Apolonia (V)	40	34	16	20	124
April (V)	20	72	27	26	156
Arabella (V)	7	10	8	8	34
Aradhana (V)	13	9	8	0	36
Aradhna (V)	10	10	0	0	28
Aranka (V)	98	123	86	47	378
Arantxa (V)	5	20	22	1	48
Archana (V)	20	23	14	14	80
Arda (V)	9	6	5	10	34
Ardina (V)	12	10	6	5	38
Areke (V)	7	11	13	6	41
Arenda (V)	27	17	14	15	90
Arendina (V)	50	40	22	23	159
Arendje (V)	41	31	45	31	174
Arentje (V)	16	10	9	10	52
Aria (V)	22	40	30	31	148
Ariaantje (V)	20	13	5	8	60
Ariadne (V)	9	3	9	1	27
Ariana (V)	13	32	41	30	132
Ariane (V)	28	28	21	40	142
Arianna (V)	6	6	20	18	54
Arianne (V)	119	114	106	63	462
Arieke (V)	12	18	8	7	48
Ariena (V)	13	17	8	6	50
Arife (V)	19	11	14	12	72
Arigje (V)	14	8	3	3	29
Arina (V)	38	49	54	34	200
Arinda (V)	10	14	5	7	38
Ariëlle (V)	7	15	15	13	61
Ariënne (V)	30	20	11	10	83
Ariëtte (V)	11	7	11	3	46
Arja (V)	20	6	8	7	51
Arjanne (V)	20	27	14	9	87
Arlene (V)	13	11	8	0	41
Arlette (V)	74	108	53	26	301
Armanda (V)	24	22	6	7	76
Arnela (V)	6	9	6	3	27
Arnolda (V)	41	29	21	10	118
Arnoldina (V)	13	13	5	2	42
Arti (V)	16	7	1	1	30
Artie (V)	18	5	0	1	37
Artje (V)	4	10	8	7	37
Aruna (V)	23	9	7	3	56
Arwa (V)	4	1	3	11	28
Arwen (V)	13	17	15	115	261
Arzu (V)	110	98	56	36	368
Asena (V)	0	8	64	28	104
Asha (V)	46	68	61	28	230
Ashana (V)	1	15	12	9	43
Ashanti (V)	9	12	14	59	108
Ashanty (V)	4	6	4	22	43
Ashley (V)	321	1208	1164	733	3694
Ashly (V)	6	16	10	6	41
Ashna (V)	74	34	13	5	160
Ashni (V)	2	9	13	2	27
Asia (V)	13	13	21	18	78
Asiya (V)	4	3	10	4	30
Asiye (V)	42	26	18	12	124
Asja (V)	9	13	11	5	41
Asli (V)	35	52	59	39	208
