Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Farrah (V)	8	9	5	5	31
Farzana (V)	22	30	7	1	66
Fatema (V)	3	5	9	8	30
Fatih (V)	16	8	3	0	38
Fatiha (V)	247	118	37	18	545
Fatima (V)	1069	842	672	529	3761
Fatimah (V)	8	11	5	4	32
Fatime (V)	7	6	8	4	29
Fatin (V)	12	11	10	7	45
Fatine (V)	2	13	12	37	79
Fatma (V)	587	455	321	228	1901
Fatmanur (V)	0	3	14	19	45
Fatna (V)	13	5	2	3	34
Fatoumata (V)	1	4	5	17	35
Fauve (V)	27	40	34	22	140
Fauzia (V)	15	7	0	2	35
Fay (V)	45	91	135	344	886
Faya (V)	0	5	7	8	45
Faye (V)	59	50	104	250	688
Fazilet (V)	6	8	7	5	34
Febe (V)	21	30	36	52	187
Fedoua (V)	7	19	15	13	60
Fee (V)	1	22	45	174	323
Feija (V)	5	5	6	8	32
Feike (V)	4	11	8	6	35
Feikje (V)	24	24	16	13	94
Felice (V)	35	57	65	91	283
Felicia (V)	116	402	357	245	1259
Felicity (V)	46	69	32	58	226
Felien (V)	5	4	10	20	62
Feline (V)	29	73	151	161	598
Fem (V)	2	2	5	44	86
Femia (V)	10	11	4	2	33
Femke (V)	1507	1518	2713	3498	11116
Femma (V)	8	6	11	8	45
Femme (V)	5	13	19	32	90
Femmie (V)	21	10	29	17	99
Femmigje (V)	42	35	24	19	143
Femmy (V)	48	28	31	27	164
Fenna (V)	245	330	482	687	2270
Fenne (V)	29	74	167	421	1032
Fennechien (V)	20	7	5	4	41
Fenneke (V)	44	28	20	14	137
Fenneken (V)	7	9	8	9	35
Fennetje (V)	16	5	7	11	48
Fennie (V)	16	12	13	13	59
Fennigje (V)	22	20	15	5	76
Fenny (V)	33	26	9	20	111
Feray (V)	6	3	6	7	27
Ferhan (V)	7	8	13	4	35
Feride (V)	25	39	20	16	111
Fernanda (V)	17	12	7	5	52
Feya (V)	2	6	8	8	29
Feyza (V)	29	40	85	61	250
Fianne (V)	9	13	10	14	56
Fidan (V)	27	14	5	6	65
Fieke (V)	133	135	115	103	599
Fien (V)	10	30	56	162	413
Fiene (V)	4	1	6	40	232
Fiep (V)	1	1	13	19	54
Figen (V)	32	23	17	5	93
Fija (V)	5	8	5	5	27
Fijgje (V)	11	10	6	8	43
Fikria (V)	21	12	7	4	58
Fikriye (V)	13	7	6	3	34
Filiz (V)	100	58	40	14	266
Fimke (V)	10	5	4	10	36
Finette (V)	0	1	2	52	81
Finn (V)	0	1	4	39	76
Fiona (V)	275	204	107	104	836
Fiorella (V)	8	10	6	9	38
Firdaous (V)	1	3	6	27	45
Firdaouss (V)	4	26	51	67	176
Firdevs (V)	6	14	10	20	56
Flavia (V)	5	6	6	5	27
Fleur (V)	809	1249	2082	4208	9855
Fleurine (V)	3	9	18	10	49
Fleurtje (V)	21	24	15	10	79
Flo (V)	0	2	8	39	75
Floor (V)	586	793	1345	2229	6041
Floortje (V)	289	214	229	447	1656
Flor (V)	11	3	4	10	34
Flora (V)	55	64	70	70	321
Florance (V)	7	26	17	31	99
Flore (V)	17	21	42	108	225
Florence (V)	131	153	172	169	699
Florencia (V)	10	13	7	5	40
Florentien (V)	7	13	6	13	42
Florentina (V)	52	58	37	20	180
Florentine (V)	90	103	69	65	367
Florian (V)	8	13	5	5	34
Florianne (V)	27	49	40	26	161
Florieke (V)	10	14	14	4	53
Florien (V)	64	55	70	76	307
Florina (V)	8	8	9	3	32
Florine (V)	68	133	148	163	592
Flory (V)	10	4	3	5	27
Foekje (V)	16	8	10	6	48
Fokje (V)	39	27	12	15	125
Fouzia (V)	101	61	23	10	226
Franca (V)	40	37	29	41	162
Frances (V)	59	88	49	38	259
Francesca (V)	56	90	83	58	320
Francien (V)	62	76	46	21	236
Francina (V)	112	100	72	62	414
Francine (V)	54	70	47	20	227
Francis (V)	187	181	129	47	641
Francisca (V)	417	315	168	119	1256
Franciska (V)	75	62	51	21	251
Franka (V)	78	120	124	105	481
Fransien (V)	12	11	7	1	39
Fransina (V)	11	8	9	3	38
Fransisca (V)	20	13	8	8	54
Fransje (V)	14	18	20	14	84
Franziska (V)	16	7	6	6	38
Françoise (V)	39	37	21	9	129
Frauke (V)	35	11	14	19	91
Fraukje (V)	21	13	15	10	73
Frederica (V)	19	18	15	7	69
Frederiek (V)	31	24	43	49	182
Frederieke (V)	89	85	102	85	413
Frederika (V)	120	86	62	44	388
Frederike (V)	105	96	97	57	407
Frederique (V)	77	155	287	315	995
Fredrika (V)	13	16	4	7	53
Freeke (V)	8	5	14	19	59
Freija (V)	11	14	17	9	66
Freke (V)	12	11	12	20	63
Freya (V)	58	48	60	49	252
Frida (V)	28	30	29	30	146
Frieda (V)	32	24	23	10	115
Frouke (V)	56	34	40	43	218
Froukje (V)	250	197	144	174	949
Frouwke (V)	12	10	4	3	33
Fréderique (V)	24	72	105	118	396
Frédérique (V)	64	121	167	161	619
Fulya (V)	15	20	26	7	71
Funda (V)	186	107	58	27	430
Fé (V)	7	12	20	41	107
Fébe (V)	5	5	4	6	27
Félice (V)	10	17	13	25	79
Féline (V)	5	18	42	70	209
Gabi (V)	28	18	30	21	110
Gabriela (V)	29	65	64	62	246
Gabriella (V)	36	104	74	62	312
Gabrielle (V)	41	63	41	31	218
Gabriëla (V)	16	49	49	19	143
Gabriëlla (V)	103	214	168	135	712
Gabriëlle (V)	232	306	257	189	1114
Gaby (V)	222	260	245	168	1013
Gaia (V)	11	27	50	70	189
Gail (V)	22	22	17	7	78
Galina (V)	15	13	3	4	44
Gallyon (V)	0	6	15	9	33
Gamze (V)	114	180	159	71	562
Gaya (V)	10	22	18	24	85
Gaye (V)	4	2	8	15	30
Gayle (V)	11	12	7	9	45
Gaëlle (V)	7	5	11	7	35
Gea (V)	71	37	21	23	181
Geanne (V)	1	12	15	13	42
Geartsje (V)	17	12	9	6	52
Geeke (V)	14	11	12	11	56
Geena (V)	1	7	23	33	68
Geerdina (V)	11	6	3	2	31
Geerke (V)	15	4	8	3	34
Geerte (V)	29	27	25	23	128
Geertje (V)	589	457	352	264	2049
Geertruda (V)	30	13	9	5	76
Geertrui (V)	47	19	13	16	119
Geertruida (V)	547	374	261	210	1727
Geesje (V)	170	101	77	62	495
Geeske (V)	85	66	42	41	308
Geesken (V)	11	9	5	8	36
Geessien (V)	24	18	8	4	63
Geeta (V)	17	4	1	0	33
Geke (V)	49	58	47	42	230
Gelske (V)	16	11	4	1	34
Gemma (V)	122	100	68	53	420
Genelva (V)	15	13	3	1	35
Genesis (V)	4	7	4	14	35
Geneva (V)	3	17	23	12	61
Genevieve (V)	26	28	18	11	94
Geneviève (V)	22	24	17	23	101
Geneviëve (V)	6	18	4	2	31
Georgette (V)	23	29	16	7	91
Georgia (V)	22	20	20	27	99
Georgina (V)	56	43	80	131	387
Gepke (V)	23	15	16	8	85
Gera (V)	20	16	15	11	73
Geralda (V)	19	30	13	7	81
Geraldine (V)	50	55	28	18	179
Gerarda (V)	165	105	76	59	502
Gerardina (V)	27	12	17	11	82
Gerbrich (V)	23	11	26	16	93
Gerbrig (V)	9	6	5	3	28
Gerda (V)	206	132	123	84	668
Gerdi (V)	9	5	3	2	27
Gerdien (V)	78	49	18	16	214
Gerdina (V)	107	67	58	45	333
Gerdine (V)	55	27	19	23	149
Gerharda (V)	41	31	20	6	127
Gerianne (V)	6	7	7	5	28
Gerie (V)	8	7	2	5	27
Gerjanne (V)	66	51	40	28	214
Gerlinda (V)	27	23	15	11	91
Gerlinde (V)	40	54	37	19	181
Gerline (V)	6	14	7	3	31
Germa (V)	15	11	7	4	41
Germaine (V)	46	51	47	32	211
Gerrianne (V)	20	17	8	5	66
Gerridina (V)	18	14	12	5	50
Gerrie (V)	108	111	75	81	444
Gerrieke (V)	10	7	15	4	41
Gerrigje (V)	87	62	39	41	268
Gerrita (V)	17	17	21	12	79
Gerritdina (V)	136	110	74	53	448
Gerritje (V)	305	239	190	145	1086
Gerriëtte (V)	9	7	7	7	32
Gerry (V)	18	16	12	14	76
Gertine (V)	10	13	7	8	48
Gertruda (V)	54	37	24	12	151
Gertrude (V)	22	15	14	6	75
Gertrudis (V)	7	9	3	1	28
Gertruida (V)	7	7	9	2	28
Gesina (V)	52	50	29	10	168
Geurtje (V)	29	10	21	10	80
Geziena (V)	18	15	18	2	58
Gezina (V)	74	51	44	18	238
Ghislaine (V)	89	128	120	63	435
Ghita (V)	11	12	8	5	41
Ghizlan (V)	38	57	71	50	229
Ghizlane (V)	34	39	44	40	175
Giada (V)	4	3	9	25	55
Gianna (V)	23	36	37	31	134
Gianne (V)	9	9	9	3	32
Giannina (V)	8	8	9	3	31
Gigi (V)	10	30	31	35	127
Gijsberta (V)	44	23	29	21	147
Gijsbertha (V)	74	73	51	46	288
Gijsbertje (V)	21	12	14	15	81
Gijsje (V)	17	21	23	34	113
Gillian (V)	29	51	64	47	203
Gina (V)	194	325	300	286	1209
Gineke (V)	16	5	2	1	29
Ginette (V)	3	13	6	2	28
Ginger (V)	47	85	70	76	328
Gini (V)	15	10	14	9	51
Ginny (V)	32	54	30	22	155
Giny (V)	7	12	9	3	36
Gioia (V)	14	38	35	62	178
Giorgia (V)	2	4	10	12	33
Giovanna (V)	35	42	32	26	149
Gioya (V)	2	11	23	16	58
Gisela (V)	30	20	8	10	81
Gisella (V)	14	7	14	2	44
Giselle (V)	21	33	11	22	107
Gita (V)	12	14	9	10	52
Githa (V)	16	5	3	7	36
Gitta (V)	29	36	23	8	113
Gitte (V)	21	36	61	91	236
Giulia (V)	15	78	111	139	414
Gizem (V)	20	76	173	156	458
Gladys (V)	45	39	18	9	123
Glenda (V)	76	23	15	5	125
Gloria (V)	42	59	45	31	210
Glynis (V)	21	7	4	0	33
Godelieve (V)	15	25	44	29	132
Gonca (V)	23	18	11	7	69
Gonda (V)	14	7	8	4	44
Gonneke (V)	16	10	1	1	36
Gonnie (V)	21	1	8	4	48
Goverdina (V)	15	16	13	6	64
Grace (V)	58	69	62	62	294
Gracia (V)	21	14	12	9	67
Graciela (V)	13	2	5	2	27
Graciella (V)	2	9	4	3	27
Graciëlla (V)	16	16	13	11	67
Grada (V)	45	39	27	8	147
Graziella (V)	8	9	7	5	33
Graziëlla (V)	9	17	2	6	38
Greetje (V)	40	43	31	22	177
Greta (V)	28	33	19	11	109
Gretha (V)	24	19	18	13	92
Grietje (V)	550	393	263	202	1737
Grytsje (V)	16	17	15	10	62
Guinevere (V)	9	16	14	21	73
Gulsum (V)	16	9	2	3	31
Guus (V)	5	7	8	12	41
Guusje (V)	43	66	211	393	1137
Gwen (V)	107	132	165	455	1193
Gwenda (V)	63	26	23	10	142
Gwendoline (V)	22	22	16	11	88
Gwendolyn (V)	125	153	96	88	537
Gwendolyne (V)	4	12	9	9	39
Gwendolynn (V)	8	7	7	7	35
Gwenn (V)	16	19	27	57	155
Gwenny (V)	28	25	14	7	94
Gwyneth (V)	3	4	25	39	81
Gökçe (V)	7	13	19	11	56
Gönül (V)	26	7	4	3	55
Gözde (V)	18	43	40	38	151
Gül (V)	56	52	33	23	196
Gülay (V)	46	24	13	9	120
Gülbahar (V)	14	18	5	10	54
Gülcan (V)	52	27	20	8	136
Gülden (V)	15	9	0	1	33
Güler (V)	27	20	5	6	66
Gülhan (V)	19	9	4	4	57
Gülistan (V)	13	13	5	7	45
Gülizar (V)	5	12	10	4	36
Güllü (V)	14	9	11	2	47
Gülsen (V)	16	17	4	3	47
Gülseren (V)	15	16	8	4	47
Gülsüm (V)	60	44	28	12	173
Gülten (V)	12	4	7	10	41
Gülçin (V)	12	8	5	4	35
Gülüzar (V)	5	8	3	4	32
Gülşah (V)	55	34	26	7	132
Gülşen (V)	14	13	14	10	63
Habiba (V)	37	27	14	18	132
Habibe (V)	22	27	20	8	89
Hacer (V)	69	74	22	19	222
Hadassa (V)	15	28	26	20	123
Hadassah (V)	5	7	3	10	38
Hadia (V)	4	5	7	9	32
Hafida (V)	124	69	30	10	315
Hafize (V)	13	8	10	1	41
Hafsa (V)	53	93	129	110	443
Hafssa (V)	5	1	14	29	63
Hagar (V)	8	12	14	10	51
Hager (V)	7	9	5	5	28
Hailey (V)	1	2	4	34	112
Hajar (V)	116	224	321	364	1204
Hajer (V)	7	10	9	3	34
Hakima (V)	126	72	10	7	298
Hala (V)	8	19	17	21	75
Hale (V)	12	7	15	12	50
Haley (V)	1	3	5	8	30
Halima (V)	172	151	92	68	579
Halime (V)	52	35	23	9	148
Hamda (V)	11	11	27	6	56
Hamdi (V)	21	11	24	12	73
Hamida (V)	14	8	6	3	42
Hamide (V)	13	14	12	10	54
Hamza (V)	22	24	26	3	81
Hana (V)	20	49	36	40	170
Hanae (V)	45	69	54	66	265
Hanan (V)	155	123	55	39	449
Hanane (V)	359	365	174	90	1131
Hananja (V)	20	4	6	3	39
Handan (V)	24	23	12	6	75
Hande (V)	4	18	37	12	72
Hani (V)	12	20	24	8	72
Hanifa (V)	7	7	8	6	37
Hanife (V)	39	34	13	20	118
Hanim (V)	17	12	2	4	39
Hanin (V)	5	17	13	7	48
Hanke (V)	10	11	3	4	33
Hanna (V)	301	344	434	416	1769
Hannah (V)	343	564	796	1011	3142
Hannan (V)	33	17	12	6	76
Hanne (V)	92	113	142	179	610
Hanneke (V)	563	311	206	105	1580
Hannelore (V)	16	11	15	24	88
Hannie (V)	16	17	10	6	69
Hanny (V)	5	13	5	1	32
Hansje (V)	6	14	16	10	52
Harma (V)	38	33	26	15	133
Harmanna (V)	27	24	9	9	85
Harmina (V)	74	44	29	22	210
Harmke (V)	95	78	56	52	331
Harmpje (V)	22	13	11	8	64
Harriet (V)	11	17	3	3	44
Harriët (V)	34	19	14	3	91
Harriëtte (V)	22	15	14	6	65
Hasibe (V)	10	13	8	5	43
Hasna (V)	68	76	70	40	291
Hasnae (V)	19	26	40	11	101
Hasret (V)	57	41	10	16	135
Hassana (V)	29	18	9	1	72
Hasse (V)	6	5	12	27	59
Hatice (V)	331	285	153	111	1084
Hatiçe (V)	7	7	7	2	29
Hatun (V)	22	11	6	6	52
Hava (V)	70	47	23	8	170
Havin (V)	1	2	0	8	46
Havva (V)	61	57	33	28	217
Hawa (V)	7	5	14	20	54
Hayat (V)	255	159	61	38	635
Hayley (V)	8	18	14	17	83
Hayriye (V)	25	15	17	11	82
Hazal (V)	5	18	25	34	97
Hazel (V)	22	11	11	12	65
Heather (V)	21	32	37	27	122
Heaven (V)	1	5	11	10	38
Heavenly (V)	3	5	9	14	36
Heba (V)	8	14	12	10	49
Hebe (V)	7	5	5	13	39
Hedda (V)	13	3	6	11	38
Hediye (V)	12	15	2	7	43
Hedwich (V)	13	10	18	12	59
Hedwig (V)	86	60	38	49	280
Hedy (V)	32	16	13	2	79
Heidi (V)	112	70	67	44	398
Heidy (V)	21	10	3	5	53
Heike (V)	29	18	22	6	92
Heiltje (V)	35	16	25	17	116
Heintje (V)	36	26	18	22	120
Heleen (V)	356	305	257	140	1246
Helen (V)	147	139	102	73	543
Helena (V)	780	671	473	403	2858
Helene (V)	60	53	39	22	211
Helga (V)	60	22	15	7	133
Helin (V)	5	10	24	71	156
Hella (V)	26	31	25	19	120
Hellen (V)	43	29	17	20	122
Helma (V)	45	14	9	9	95
Helmi (V)	10	9	2	3	28
Helène (V)	3	14	7	2	36
Henderika (V)	90	67	32	15	251
Hendrica (V)	49	44	31	18	170
Hendrieka (V)	9	7	6	4	30
Hendrieke (V)	6	10	10	3	33
Hendrika (V)	1320	977	678	509	4209
Hendrike (V)	30	29	22	20	125
Hendrikje (V)	427	311	235	143	1368
Hendrina (V)	96	88	57	47	344
Henna (V)	4	14	5	6	35
Hennie (V)	61	65	52	45	262
Henny (V)	47	40	25	24	171
Henrica (V)	127	99	53	29	378
Henrieke (V)	144	129	83	49	470
Henriette (V)	43	30	17	6	118
Henrika (V)	19	9	9	6	51
Henrike (V)	113	102	76	62	417
Henriët (V)	40	26	25	5	117
Henriëtta (V)	10	9	8	7	36
Henriëtte (V)	267	217	156	79	874
Herma (V)	60	38	20	15	161
Hermanna (V)	48	17	18	13	112
Hermien (V)	29	11	9	6	63
Hermina (V)	188	145	106	74	631
Hermine (V)	17	16	11	9	67
Hester (V)	390	382	262	209	1440
Hesther (V)	8	12	12	8	43
Hetty (V)	25	25	8	10	95
Hiba (V)	17	27	41	74	235
Hibo (V)	15	22	21	13	79
Hicran (V)	12	19	16	11	68
Hieke (V)	31	10	22	118	218
Hielkje (V)	16	10	6	9	48
Hila (V)	7	8	4	4	27
Hilal (V)	82	118	148	118	521
Hilary (V)	2	12	4	9	30
Hilda (V)	97	76	45	41	313
Hilde (V)	431	478	448	274	1903
Hildegard (V)	4	17	10	6	48
Hilje (V)	8	9	8	7	38
Hilke (V)	34	35	30	25	145
Hillary (V)	4	12	9	7	36
Hillechien (V)	25	19	5	5	71
Hillechiena (V)	15	8	1	1	27
Hillegonda (V)	76	41	27	24	198
Hilletje (V)	11	8	9	6	40
Hillie (V)	32	27	26	11	117
Hilligje (V)	49	37	35	19	168
Hilly (V)	13	18	12	18	74
Hiltje (V)	75	55	32	39	246
Hilâl (V)	17	21	15	4	63
Hina (V)	15	4	8	4	38
Hind (V)	67	53	49	110	356
Hinderika (V)	14	11	5	5	44
Hinderkien (V)	14	12	6	1	42
Hinke (V)	79	60	52	29	274
Hira (V)	6	12	9	6	40
Hiske (V)	49	44	44	46	224
Hiu (V)	9	9	6	3	31
Ho (V)	14	6	8	6	41
Hoang (V)	10	16	7	3	42
Hoda (V)	26	13	18	7	75
Hodan (V)	27	38	17	9	100
Hoi (V)	21	25	14	7	79
Holly (V)	16	18	20	36	107
Hong (V)	15	15	11	11	59
Hope (V)	2	0	13	41	81
Houda (V)	94	93	113	92	472
Houria (V)	45	26	9	5	114
Huberdina (V)	22	26	8	6	74
Huberta (V)	18	8	8	3	46
Hubertina (V)	36	18	7	4	83
Huda (V)	12	15	19	18	73
Hui (V)	14	17	26	12	74
Huiberdina (V)	18	16	12	7	65
Huibertje (V)	15	11	16	13	62
Hulya (V)	26	24	4	1	61
Huriye (V)	30	20	7	6	81
Husna (V)	3	9	6	5	27
Hylke (V)	12	8	6	5	36
Hylkje (V)	9	7	3	5	31
Hymke (V)	0	17	10	9	40
Hélène (V)	63	80	58	58	292
Hülya (V)	168	96	25	17	379
Hümeyra (V)	14	34	48	23	138
Ianthe (V)	13	7	21	12	63
Iboya (V)	5	2	10	7	29
Ibtisam (V)	10	6	5	11	43
Ibtisame (V)	21	19	11	0	59
Ibtissam (V)	28	99	124	153	473
Ibtissame (V)	2	2	15	38	64
Ichelle (V)	9	23	31	14	80
Ida (V)	124	115	115	121	575
Idil (V)	27	25	32	19	109
Idske (V)	4	11	5	9	39
Iefke (V)	9	5	5	6	31
Ieke (V)	18	22	13	26	94
Iemke (V)	7	6	9	7	31
Ietje (V)	19	11	7	5	54
Ifrah (V)	14	4	9	7	46
Ihsane (V)	19	30	42	34	144
Ihssane (V)	3	2	10	13	29
Ike (V)	18	17	11	13	74
Ikra (V)	1	8	3	20	41
Ikram (V)	186	301	258	181	1009
Ikrame (V)	91	79	72	73	354
Ilana (V)	26	41	61	70	249
Ilayda (V)	2	7	87	329	528
Ilaysa (V)	7	2	6	8	29
Ileen (V)	6	21	17	13	64
Ilene (V)	5	5	7	7	27
Ilham (V)	79	195	214	161	720
Ilhame (V)	63	55	60	36	242
Ilhan (V)	4	9	8	9	32
Ilja (V)	97	138	178	145	639
Ilka (V)	16	12	6	17	58
Ilkay (V)	12	11	6	4	36
Ilke (V)	18	27	28	19	111
Ilknur (V)	47	35	40	14	161
Ilona (V)	1549	946	570	304	4112
Ilonca (V)	18	5	8	5	38
Ilone (V)	11	5	5	3	33
Ilonka (V)	122	113	44	34	376
Ilsa (V)	7	19	31	38	107
Ilse (V)	1875	1848	1879	2572	9487
Ilva (V)	13	16	23	20	92
Ilvy (V)	6	29	19	24	93
Ilya (V)	0	10	12	26	63
Ilze (V)	24	23	22	26	112
Imaan (V)	2	5	16	26	59
Iman (V)	55	60	97	105	372
Imane (V)	160	255	394	533	1571
Imani (V)	0	7	39	77	153
Imara (V)	24	39	37	27	150
Imelda (V)	21	8	10	8	59
Imen (V)	9	8	9	14	42
Imke (V)	295	346	450	656	2072
Imme (V)	10	26	68	156	329
Immy (V)	10	9	3	5	28
Imogen (V)	2	11	15	5	40
Imran (V)	8	11	10	6	41
Imre (V)	26	32	45	70	207
Ina (V)	33	34	30	30	162
Inas (V)	9	7	9	6	38
Inass (V)	1	3	17	48	84
Inci (V)	12	10	9	18	59
Indah (V)	11	7	6	9	44
Indi (V)	0	5	13	93	164
India (V)	3	11	28	113	208
Indiana (V)	0	9	5	10	29
Indie (V)	0	2	6	14	28
Indigo (V)	0	4	12	11	32
Indira (V)	40	26	40	74	233
Indra (V)	51	42	52	118	325
Indy (V)	3	33	137	1476	2328
Ine (V)	46	40	12	32	167
Ineke (V)	248	148	99	69	703
Ines (V)	45	59	63	70	278
Inez (V)	94	161	162	190	706
Inga (V)	21	16	23	11	87
Inge (V)	2061	1582	1073	845	6580
Ingeborg (V)	397	266	172	81	1127
Inger (V)	75	73	56	39	284
Ingetje (V)	14	13	5	10	59
Ingmar (V)	10	11	4	2	31
Ingrid (V)	949	504	238	116	2315
Inke (V)	11	6	13	13	47
Insaf (V)	8	7	7	12	41
Inssaf (V)	6	28	34	55	152
Intissar (V)	5	10	15	31	75
Inès (V)	6	6	18	23	65
Inèz (V)	6	9	11	17	47
Inés (V)	3	7	9	16	43
Ioanna (V)	7	10	10	4	32
Iona (V)	11	9	16	25	72
Ipek (V)	32	25	25	17	112
Iqra (V)	2	5	11	14	36
Ira (V)	13	9	23	31	85
Ireen (V)	18	17	18	9	79
Irem (V)	6	24	104	266	513
Irena (V)	35	33	22	10	112
Irene (V)	1042	948	707	377	3626
Ires (V)	7	20	22	14	71
Irina (V)	56	66	48	28	229
Irini (V)	13	22	25	12	80
Iris (V)	2043	4490	4565	4082	16984
Irma (V)	309	219	129	80	876
Irmak (V)	4	1	1	8	37
Irmgard (V)	15	13	8	3	49
Irsa (V)	1	0	1	27	41
Isa (V)	28	74	867	2994	5221
Isabeau (V)	6	58	91	121	300
Isabel (V)	169	318	712	1309	3044
Isabella (V)	114	201	369	811	1919
Isabelle (V)	265	553	953	1095	3269
Isadora (V)	3	13	12	14	47
Isaura (V)	57	31	29	25	162
Ischa (V)	10	7	10	15	49
Ise (V)	2	1	11	42	111
Isha (V)	9	18	27	96	182
Ishana (V)	1	4	14	26	59
Ishani (V)	0	1	6	16	30
Ishara (V)	0	7	10	8	33
Ishika (V)	0	0	0	23	33
Isis (V)	26	33	193	587	1213
Ismahan (V)	12	11	14	10	54
Ismahane (V)	2	5	7	9	27
Ismay (V)	16	39	78	92	244
Isobel (V)	4	8	6	11	33
Isolde (V)	23	24	41	56	166
Isra (V)	7	7	23	51	123
Israa (V)	0	7	5	14	44
Israe (V)	1	0	3	6	28
Issrae (V)	0	0	3	22	39
Itske (V)	3	4	6	9	27
Iva (V)	13	14	35	53	148
Ivana (V)	62	207	243	156	739
Ivanka (V)	45	46	45	35	189
Ivanna (V)	3	10	16	6	40
Ivette (V)	36	19	13	12	93
Ivon (V)	23	20	6	3	67
Ivonne (V)	68	37	10	6	160
Ivy (V)	41	76	51	116	354
Iwana (V)	6	4	12	7	30
Iza (V)	4	20	81	200	384
Izabella (V)	3	11	7	24	59
Ize (V)	0	0	4	14	38
Işil (V)	9	7	3	4	30
Jaantje (V)	20	19	17	12	80
Jacey (V)	0	0	9	21	42
Jacinta (V)	22	17	7	5	59
Jacintha (V)	56	55	41	20	200
Jackelien (V)	22	9	8	2	48
Jackie (V)	34	77	85	84	327
Jacklyn (V)	9	13	8	8	42
Jacky (V)	107	189	116	114	561
Jaclyn (V)	13	6	5	5	33
Jacoba (V)	868	678	523	375	2960
Jacobien (V)	24	31	23	26	118
Jacobina (V)	15	10	7	4	40
Jacobine (V)	34	39	32	20	147
Jacobje (V)	22	24	14	16	98
Jacolien (V)	36	28	22	9	108
Jacoline (V)	42	30	20	13	124
Jacomijn (V)	7	7	10	9	43
Jacomijntje (V)	18	24	12	15	79
Jacomina (V)	87	67	50	41	301
Jacquelien (V)	58	27	16	11	144
Jacqueline (V)	862	486	226	105	2108
Jacyntha (V)	6	15	7	0	31
Jada (V)	0	1	21	156	369
Jade (V)	113	203	316	707	1820
Jaden (V)	0	0	0	28	42
Jadey (V)	1	14	8	33	78
Jadie (V)	1	8	6	7	28
Jady (V)	2	14	39	48	132
Jael (V)	8	4	6	10	37
Jaidy (V)	0	3	6	20	46
Jaike (V)	11	14	11	2	43
Jaime (V)	10	9	11	17	59
Jaimey (V)	1	4	9	17	38
Jaimie (V)	39	50	49	29	181
Jaimy (V)	148	316	429	356	1349
Jaimy-Lee (V)	0	4	10	10	27
Jainy (V)	2	6	6	10	33
Jakoba (V)	32	27	6	10	85
Jale (V)	7	9	13	6	41
Jaleesa (V)	86	243	67	38	444
Jalila (V)	14	14	6	6	46
Jalisa (V)	2	29	17	10	61
Jamey (V)	4	11	5	8	31
Jamie (V)	288	605	822	512	2368
Jamie-Lee (V)	9	33	71	25	150
Jamila (V)	262	162	117	96	794
Jamilla (V)	57	127	132	111	457
Jamy (V)	31	80	91	63	293
Jana (V)	55	115	135	169	572
Jane (V)	107	125	131	110	568
Janelle (V)	10	13	11	20	65
Janet (V)	164	131	72	59	490
Janette (V)	34	26	21	5	107
Janey (V)	28	15	34	28	125
Janice (V)	113	156	118	98	552
Janie (V)	11	5	5	6	30
Janiek (V)	5	48	60	46	176
Janieke (V)	11	19	22	18	80
Janien (V)	7	10	8	5	33
Janienke (V)	5	4	12	3	29
Janina (V)	44	37	28	22	166
Janine (V)	555	650	587	286	2374
Janinka (V)	11	13	2	1	31
Janique (V)	13	32	57	37	155
Janis (V)	15	24	26	13	94
Janita (V)	82	105	77	57	365
Janke (V)	90	86	58	50	349
Janna (V)	675	612	601	552	2929
Jannah (V)	0	9	15	21	53
Janne (V)	119	189	350	551	1448
Janneke (V)	1298	940	783	586	4528
Jannet (V)	28	19	14	9	87
Jannetje (V)	479	360	306	257	1664
Jannetta (V)	12	5	7	9	46
Jannette (V)	48	47	20	20	158
Jannie (V)	216	189	201	178	959
Janniek (V)	6	9	13	15	46
Jannieke (V)	11	9	16	12	49
Jannigje (V)	199	180	141	140	793
Jannine (V)	10	10	4	5	33
Jannita (V)	11	10	13	10	45
Janny (V)	139	119	110	115	555
Janou (V)	59	85	65	54	288
Janouk (V)	7	16	16	31	78
Jans (V)	13	10	17	35	98
Jansje (V)	100	73	56	44	331
Janske (V)	34	19	34	44	168
Jante (V)	7	8	8	13	42
Jantien (V)	85	61	36	12	246
Jantiena (V)	17	11	2	3	46
Jantiene (V)	11	8	3	1	28
Jantina (V)	199	138	74	39	548
Jantine (V)	253	181	95	40	708
Jantje (V)	390	228	160	105	1073
Jantsje (V)	20	10	7	7	48
Jany (V)	13	13	6	2	36
Japke (V)	12	18	9	5	54
Jaqueline (V)	48	22	13	3	105
Jara (V)	35	71	129	234	589
Jasmien (V)	9	15	8	17	59
Jasmijn (V)	296	453	866	1518	3998
Jasmin (V)	62	128	125	158	563
Jasmina (V)	70	59	54	98	347
Jasmine (V)	18	78	106	150	439
Jasmyn (V)	15	9	5	9	51
Jasperina (V)	10	5	7	2	27
Jay (V)	7	11	11	20	57
Jaya (V)	5	20	16	21	75
Jayanti (V)	6	7	8	4	27
Jayda (V)	0	0	5	50	147
Jaydee (V)	2	3	20	32	76
Jayla (V)	0	0	9	14	65
Jaylee (V)	0	2	4	12	33
Jaylin (V)	0	0	4	8	30
Jayne (V)	3	3	12	9	31
Jazz (V)	5	18	27	21	88
